cityid,cityname,lattitude,longitude
51359,"Nariman Point,Mumbai,400021,MAHARASHTRA",18.92690277,72.82273102
51360,"New Yogakshema,Mumbai,400021,MAHARASHTRA",18.92690277,72.82273102
51361,"Chunabhatti,Mumbai,400022,MAHARASHTRA",19.0412159,72.86909485
51362,"Raoli Camp,Mumbai,400022,MAHARASHTRA",19.0412159,72.86909485
51363,"Sion,Mumbai,400022,MAHARASHTRA",19.0412159,72.86909485
51364,"Transit Camp,Mumbai,400022,MAHARASHTRA",19.0412159,72.86909485
51365,"Nehru Nagar (Mumbai),Mumbai,400024,MAHARASHTRA",19.06185722,72.8817749
51366,"New Prabhadevi Road,Mumbai,400025,MAHARASHTRA",19.01662827,72.8299408
51367,"Prabhadevi,Mumbai,400025,MAHARASHTRA",19.01662827,72.8299408
51368,"Cumballa Hill,Mumbai,400026,MAHARASHTRA",18.9705658,72.80819702
51369,"Cumballa Sea Face,Mumbai,400026,MAHARASHTRA",18.9705658,72.80819702
51370,"Dr Deshmukh Marg,Mumbai,400026,MAHARASHTRA",18.9705658,72.80819702
51371,"Gowalia Tank,Mumbai,400026,MAHARASHTRA",18.9705658,72.80819702
51372,"V J B Udyan,Mumbai,400027,MAHARASHTRA",18.97694588,72.8356781
51373,"Bhawani Shankar Rd,Mumbai,400028,MAHARASHTRA",19.01781845,72.83592987
51374,"Bhawani Shankar,Mumbai,400028,MAHARASHTRA",19.01781845,72.83592987
51375,"Gokhale Road (Mumbai),Mumbai,400028,MAHARASHTRA",19.01781845,72.83592987
51376,"Ranade Road,Mumbai,400028,MAHARASHTRA",19.01781845,72.83592987
51377,"S V S Marg,Mumbai,400028,MAHARASHTRA",19.01781845,72.83592987
51378,"Shivaji Park (Mumbai),Mumbai,400028,MAHARASHTRA",19.01781845,72.83592987
51379,"A I Staff Colony,Mumbai,400029,MAHARASHTRA",19.15162277,72.85498047
51380,"Santacruz P&t Colony,Mumbai,400029,MAHARASHTRA",19.15162277,72.85498047
51381,"Century Mill,Mumbai,400030,MAHARASHTRA",19.00774956,72.8181839
51382,"Worli Colony,Mumbai,400030,MAHARASHTRA",19.00774956,72.8181839
51383,"Worli Police Camp,Mumbai,400030,MAHARASHTRA",19.00774956,72.8181839
51384,"Worli Sea Face,Mumbai,400030,MAHARASHTRA",19.00774956,72.8181839
51385,"Kidwai Nagar (Mumbai),Mumbai,400031,MAHARASHTRA",19.01083946,72.84972382
51386,"Wadala Rs,Mumbai,400031,MAHARASHTRA",19.01083946,72.84972382
51387,"Wadala,Mumbai,400031,MAHARASHTRA",19.01083946,72.84972382
51388,"High Court Building (Mumbai),Mumbai,400032,MAHARASHTRA",18.92750359,72.82907867
51389,"Mantralaya (Mumbai),Mumbai,400032,MAHARASHTRA",18.92750359,72.82907867
51390,"Secretariate,Mumbai,400032,MAHARASHTRA",18.92750359,72.82907867
51391,"Cotton Exchange,Mumbai,400033,MAHARASHTRA",18.98185158,72.84057617
51392,"Kalachowki,Mumbai,400033,MAHARASHTRA",18.98185158,72.84057617
51393,"L B S N E collage,Mumbai,400033,MAHARASHTRA",18.98185158,72.84057617
51394,"Reay Road,Mumbai,400033,MAHARASHTRA",18.98185158,72.84057617
51395,"Tank Road,Mumbai,400033,MAHARASHTRA",18.98185158,72.84057617
51396,"Haji Ali,Mumbai,400034,MAHARASHTRA",18.97668648,72.8123703
51397,"Tulsiwadi,Mumbai,400034,MAHARASHTRA",18.97668648,72.8123703
51398,"Rajbhavan (Mumbai),Mumbai,400035,MAHARASHTRA",19.03984451,72.80966187
51399,"Antop Hill,Mumbai,400037,MAHARASHTRA",19.0230732,72.86762238
51400,"B P T Colony,Mumbai,400037,MAHARASHTRA",19.0230732,72.86762238
51401,"C G S Colony,Mumbai,400037,MAHARASHTRA",19.0230732,72.86762238
51402,"Wadala Truck Terminal,Mumbai,400037,MAHARASHTRA",19.0230732,72.86762238
51403,"Bhandup East,Mumbai,400042,MAHARASHTRA",19.13589668,72.93862152
51404,"D.M. Colony,Mumbai,400043,MAHARASHTRA",19.06372261,72.92176056
51405,"Shivaji Nagar (Mumbai),Mumbai,400043,MAHARASHTRA",19.06372261,72.92176056
51406,"Juhu,Mumbai,400049,MAHARASHTRA",19.25016975,72.80255127
51407,"Bandra West,Mumbai,400050,MAHARASHTRA",19.05906868,72.82568359
51408,"Audit Bhavan,Mumbai,400051,MAHARASHTRA",19.05821228,72.85176849
51409,"B.N. Bhavan,Mumbai,400051,MAHARASHTRA",19.05821228,72.85176849
51410,"Bandra(East),Mumbai,400051,MAHARASHTRA",19.05821228,72.85176849
51411,"Government Colony,Mumbai,400051,MAHARASHTRA",19.05821228,72.85176849
51412,"Kherwadi,Mumbai,400051,MAHARASHTRA",19.05821228,72.85176849
51413,"Danda,Mumbai,400052,MAHARASHTRA",19.0766468,72.83315277
51414,"Khar Colony,Mumbai,400052,MAHARASHTRA",19.0766468,72.83315277
51415,"Khar Delivery,Mumbai,400052,MAHARASHTRA",19.0766468,72.83315277
51416,"V.P. Road,Mumbai,400052,MAHARASHTRA",19.0766468,72.83315277
51417,"Andheri,Mumbai,400053,MAHARASHTRA",19.12801552,72.8325119
51418,"Azad Nagar (Mumbai),Mumbai,400053,MAHARASHTRA",19.12801552,72.8325119
51419,"Santacruz Central,Mumbai,400054,MAHARASHTRA",19.08001518,72.83325195
51420,"Santacruz(West),Mumbai,400054,MAHARASHTRA",19.08001518,72.83325195
51421,"Santacruz(East),Mumbai,400055,MAHARASHTRA",19.08076477,72.84680939
51422,"Vakola,Mumbai,400055,MAHARASHTRA",19.08076477,72.84680939
51423,"IRLA,Mumbai,400056,MAHARASHTRA",19.02143669,73.11225891
51424,"Vileparle(West),Mumbai,400056,MAHARASHTRA",19.02143669,73.11225891
51425,"Hanuman Road,Mumbai,400057,MAHARASHTRA",19.1031723,72.84957123
51426,"Vileeparle (East),Mumbai,400057,MAHARASHTRA",19.1031723,72.84957123
51427,"Vileparle Railway Station,Mumbai,400057,MAHARASHTRA",19.1031723,72.84957123
51428,"Andheri Railway Station,Mumbai,400058,MAHARASHTRA",19.12573242,72.84267426
51429,"H.M.P. School,Mumbai,400058,MAHARASHTRA",19.12573242,72.84267426
51430,"J.B. Nagar,Mumbai,400059,MAHARASHTRA",19.11379242,72.86969757
